StateCounty,TotalPop,Men,Women,Citizen,MeanCommute,Employed,Hispanic_,White_,Black_,Native_,Asian_,Pacific_,Poverty_,ChildPoverty_,Professional_,Service_,Office_,Construction_,Production_,Drive_,Carpool_,Transit_,Walk_,OtherTransp_,WorkAtHome_,PrivateWork_,PublicWork_,SelfEmployed_,FamilyWork_,Unemployment_,income_weighted,per_dem,per_gop,clinton_win
Washington_Asotin,22040,0.4793103,0.5206897,0.7842559,15.97429,0.4282668,0.03548094,0.9160617,0.004038113,0.01147913,0.008711434,0.002631579,0.1520417,0.1967332,0.3053085,0.2001815,0.2571688,0.1056261,0.1313975,0.788657,0.1021325,0.008711434,0.02772232,0.01982759,0.05335753,0.767922,0.1656534,0.06674229,0,0.09460073,25132,0.3219744,0.5898389,FALSE
Washington_Benton,184930,0.4996269,0.5003731,0.676656,21.72307,0.44572,0.1995296,0.7261613,0.01459471,0.00642946,0.02588006,0.000994971,0.1435246,0.2118802,0.3682799,0.1672903,0.2196939,0.1260369,0.1187747,0.8049694,0.1115179,0.01161521,0.02202996,0.01172876,0.03814957,0.7888228,0.1669821,0.0427459,0.001319418,0.07028605,28759.52,0.3273174,0.5928459,FALSE
Washington_Chelan,74267,0.498566,0.501434,0.6899834,18.15921,0.4462278,0.2720051,0.689768,0.004578076,0.009385057,0.00772887,0.00090215,0.1427283,0.2012334,0.2931719,0.1959955,0.2048824,0.1670325,0.1391331,0.7675549,0.09569526,0.01475756,0.04376102,0.02570455,0.05243244,0.7689553,0.1598557,0.06900777,0.00201974,0.07553826,25564.25,0.3928506,0.5496991,FALSE
Washington_Clallam,72397,0.4963603,0.5036397,0.8031272,21.42409,0.3825711,0.05700512,0.8379491,0.008536265,0.04420073,0.0143238,0.000593947,0.1505587,0.1954363,0.2915176,0.2348716,0.2399547,0.1112201,0.1223393,0.7617305,0.09780792,0.02403415,0.04228076,0.02396508,0.05015401,0.6973079,0.2197881,0.08160559,0.001408898,0.09750404,26999.8,0.4594209,0.4755192,FALSE
Washington_Clark,444506,0.49454,0.50546,0.7011424,25.37214,0.4527745,0.08423283,0.8025403,0.018056,0.005804196,0.04142576,0.007131512,0.1122774,0.146178,0.3481775,0.1734037,0.2467886,0.09173779,0.1398519,0.7879241,0.09153082,0.02395243,0.01840245,0.01509091,0.06313976,0.7982952,0.1345224,0.064962,0.002177698,0.0855894,28800.89,0.4632503,0.4627038,TRUE
Washington_Columbia,3989,0.5026322,0.4973678,0.7803961,19.6,0.3903234,0.0639258,0.8849336,0.00401103,0.005013788,0.006016546,0.009024818,0.175984,0.2191025,0.3489596,0.2730008,0.1629481,0.1301078,0.08498371,0.6888945,0.08398095,0.02005515,0.09100025,0.03609927,0.07896716,0.5800953,0.2880421,0.1270995,0.00401103,0.1040361,24400,0.2409028,0.6867803,FALSE
Washington_Cowlitz,102338,0.493414,0.506586,0.7446794,23.94165,0.3949462,0.08297016,0.8484532,0.005745666,0.009419766,0.01271278,0.001739334,0.175878,0.2370185,0.2669292,0.2026715,0.222283,0.1239031,0.1842424,0.7842248,0.130968,0.002335398,0.01862456,0.017579,0.04619985,0.792599,0.1458305,0.05788661,0.003771815,0.109881,24260.07,0.3922612,0.5290975,FALSE
Washington_Douglas,39599,0.5019066,0.4980934,0.6330968,19.49045,0.4554155,0.3002854,0.6611278,0.001944494,0.009141645,0.006641582,0.000454557,0.1482108,0.2356878,0.249476,0.1616455,0.2179348,0.2235663,0.1470997,0.8180762,0.07770398,0.004747595,0.02525316,0.04126367,0.03303114,0.7927725,0.1459128,0.05742569,0.004015253,0.06525417,23598.07,0.3139444,0.6285864,FALSE
Washington_Ferry,7652,0.5210403,0.4789597,0.8038421,21.24737,0.3204391,0.04051228,0.7411134,0.002613696,0.1521171,0.001306848,0.006403555,0.2199425,0.235494,0.3474909,0.1570831,0.1744642,0.1830894,0.1382645,0.6949817,0.1091218,0.004573968,0.1147412,0.01568217,0.06142185,0.51908,0.4120491,0.0644276,0.004704652,0.1190538,20601.45,0.3064607,0.6117978,FALSE
Washington_Franklin,86443,0.5211758,0.4788242,0.5093877,20.61592,0.4194556,0.514952,0.4235392,0.01839362,0.003424222,0.02054533,0.000497438,0.1851162,0.2641394,0.2317481,0.1801765,0.1764747,0.2280231,0.1834504,0.8165034,0.1197899,0.007658226,0.01580232,0.007565679,0.03314323,0.8182155,0.1309302,0.04936201,0.001503881,0.07263746,20411.91,0.3808298,0.5517878,FALSE
